event_id,url,title,date_start,time_start,location,ticket_url,ticket_price_text,ticket_free,description,category,organizer,duration
3657cc236f8a85cc118d305b46c5e74a,https://allevents.in/skopje/skopje-run-registration-is-mandatory-weekly-meetup-recurrent-event/200028383485614,Skopje Run (Registration is mandatory / Weekly meetup / Recurrent event ),31 Јануари,,Skopje,https://allevents.in/skopje/skopje-run-registration-is-mandatory-weekly-meetup-recurrent-event/200028383485614,,True,Настан: Skopje Run (Registration is mandatory / Weekly meetup / Recurrent event ),Sports,,
63fe8b40b6fe2b3dbf21cdccefea96d8,https://allevents.in/skopje/dating-meetup-skopje-registration-is-mandatory/200029055710247,Dating Meetup - Skopje (Registration is mandatory),6 Март,,Skopje,https://allevents.in/skopje/dating-meetup-skopje-registration-is-mandatory/200029055710247,,True,Настан: Dating Meetup - Skopje (Registration is mandatory),event,,
9ec24ea005151db6582f40268b205059,https://allevents.in/skopje/skopje-cup-2026-%D0%9A%D1%83%D0%BF-%D0%A1%D0%BA%D0%BE%D0%BF%D1%98%D0%B5-2026/200029338222259,Skopje Cup 2026 - Куп Скопје 2026,27 Февруари,,КСП Центар -Јадро / SCS Centar-Jadro,https://allevents.in/skopje/skopje-cup-2026-%D0%9A%D1%83%D0%BF-%D0%A1%D0%BA%D0%BE%D0%BF%D1%98%D0%B5-2026/200029338222259,,True,Настан: Skopje Cup 2026 - Куп Скопје 2026,event,,
ac518e5e111e1c384ee29d4a3ae3699b,https://allevents.in/skopje/arsenal-vs-liverpool/200029449625422,Arsenal vs Liverpool,8 Јануари,,English Pub & Restaurant - The Corner,https://allevents.in/skopje/arsenal-vs-liverpool/200029449625422,,True,Настан: Arsenal vs Liverpool,Food,,
1ed5b4c506677d033119901510853665,https://allevents.in/skopje/%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80-%D0%A7%D0%B5%D1%82%D0%BA%D0%B0%D1%80/200029431242932,Владимир Четкар,17 Јануари,,Public Room,https://allevents.in/skopje/%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80-%D0%A7%D0%B5%D1%82%D0%BA%D0%B0%D1%80/200029431242932,,True,Настан: Владимир Четкар,event,,
eec6d26f0540d1fe2ebf7b5a273beaf4,https://allevents.in/skopje/globetrotter%E2%80%99s-meetup-skopje-registration-is-mandatory/200028895476710,Globetrotter’s Meetup - Skopje (Registration is mandatory),20 Февруари,,Skopje,https://allevents.in/skopje/globetrotter%E2%80%99s-meetup-skopje-registration-is-mandatory/200028895476710,,True,Настан: Globetrotter’s Meetup - Skopje (Registration is mandatory),event,,
f270dfa720029d871b39ca8929347e0c,https://allevents.in/skopje/%D0%94%D0%90%D0%A6-%D0%98-%D0%90%D0%9B%D0%95%D0%9A%D0%A1%D0%90%D0%9D%D0%94%D0%90%D0%A0-%D0%94%D0%90%D0%9C%D0%98%D0%A2%D0%95-%D0%91%D0%98%D0%A0%D0%90%D0%90%D0%A2/200029405350756,ДАЦ И АЛЕКСАНДАР ❤️ ДАМИТЕ БИРААТ,7 Март,,Македонски Народен Театар / Makedonski Naroden Teatar,https://allevents.in/skopje/%D0%94%D0%90%D0%A6-%D0%98-%D0%90%D0%9B%D0%95%D0%9A%D0%A1%D0%90%D0%9D%D0%94%D0%90%D0%A0-%D0%94%D0%90%D0%9C%D0%98%D0%A2%D0%95-%D0%91%D0%98%D0%A0%D0%90%D0%90%D0%A2/200029405350756,,True,Настан: ДАЦ И АЛЕКСАНДАР ❤️ ДАМИТЕ БИРААТ,Theater,,
c58ef7e9232427ed15759603f1dab83b,https://allevents.in/skopje/%D0%94%D0%90%D0%A6-%D0%98-%D0%90%D0%9B%D0%95%D0%9A%D0%A1%D0%90%D0%9D%D0%94%D0%90%D0%A0-%D0%94%D0%90%D0%9C%D0%98%D0%A2%D0%95-%D0%91%D0%98%D0%A0%D0%90%D0%90%D0%A2/200029327757912,ДАЦ И АЛЕКСАНДАР ❤️ ДАМИТЕ БИРААТ,6 Март,,Македонски Народен Театар / Makedonski Naroden Teatar,https://allevents.in/skopje/%D0%94%D0%90%D0%A6-%D0%98-%D0%90%D0%9B%D0%95%D0%9A%D0%A1%D0%90%D0%9D%D0%94%D0%90%D0%A0-%D0%94%D0%90%D0%9C%D0%98%D0%A2%D0%95-%D0%91%D0%98%D0%A0%D0%90%D0%90%D0%A2/200029327757912,,True,Настан: ДАЦ И АЛЕКСАНДАР ❤️ ДАМИТЕ БИРААТ,Theater,,
90996994bf80ef2b95f06047a3f89998,https://allevents.in/skopje/%D0%88%D0%B8%D0%BD%D0%B3-%D0%88%D0%B0%D0%BD%D0%B3/200029417247850,Јинг – Јанг,22 Јануари,,"Bul. Goce Delcev Br. 2, 1000 Skopje, North Macedonia",https://allevents.in/skopje/%D0%88%D0%B8%D0%BD%D0%B3-%D0%88%D0%B0%D0%BD%D0%B3/200029417247850,,True,Настан: Јинг – Јанг,event,,
ad7a361075ee77c3d09fcbfc7328764c,https://allevents.in/skopje/sooshi-mango-%D0%B2%D0%BE-%D0%A1%D0%9A%D0%9E%D0%9F%D0%88%D0%95/200029348159727,SOOSHI MANGO во СКОПЈЕ! 🎉,6 Јуни,,SRC Kale,https://allevents.in/skopje/sooshi-mango-%D0%B2%D0%BE-%D0%A1%D0%9A%D0%9E%D0%9F%D0%88%D0%95/200029348159727,,True,Настан: SOOSHI MANGO во СКОПЈЕ! 🎉,event,,
8d32607a2a73d55021618a8b43bf46ba,https://allevents.in/skopje/%D0%A1%D1%82%D0%B5%D0%BD%D0%B4-%D0%B0%D0%BF-%D1%88%D0%BE%D1%83-%D1%81%D0%BE-%D0%98%D0%B2%D0%B0%D0%BD%D0%B0-%D0%9D%D0%B0%D1%81%D0%BA%D0%BE%D0%B2%D0%B0/200029431243237,Стенд ап шоу со Ивана Наскова,15 Јануари,,Public Room,https://allevents.in/skopje/%D0%A1%D1%82%D0%B5%D0%BD%D0%B4-%D0%B0%D0%BF-%D1%88%D0%BE%D1%83-%D1%81%D0%BE-%D0%98%D0%B2%D0%B0%D0%BD%D0%B0-%D0%9D%D0%B0%D1%81%D0%BA%D0%BE%D0%B2%D0%B0/200029431243237,,True,Настан: Стенд ап шоу со Ивана Наскова,event,,
8b98ccf2c31ab79117c5c862673ced5a,https://allevents.in/skopje/%D0%9F%D0%A0%D0%95%D0%9C%D0%98%D0%95%D0%A0%D0%90-%D0%A1%D0%A6%D0%95%D0%9D%D0%A1%D0%9A%D0%98-%D0%A1%D0%9F%D0%95%D0%9A%D0%A2%D0%90%D0%9A%D0%9B-%E2%80%9E%D0%A1%D0%9E%D0%9D%D0%A6%D0%95%D0%A2%D0%9E-%D0%9A%D0%9E%D0%9B%D0%9A%D0%A3-%D0%95-%D0%91%D0%9B%D0%98%D0%A1%D0%9A%D0%A3-%D0%A1%D0%9E%D0%9D%D0%A6%D0%95%D0%A2%D0%9E-made-in-%D0%9Cnt/200029431243850,"ПРЕМИЕРА - СЦЕНСКИ СПЕКТАКЛ „СОНЦЕТО, КОЛКУ Е БЛИСКУ СОНЦЕТО – MADE IN МNT“",15 Јануари,,"11 Март, 1000 Skopje, North Macedonia",https://allevents.in/skopje/%D0%9F%D0%A0%D0%95%D0%9C%D0%98%D0%95%D0%A0%D0%90-%D0%A1%D0%A6%D0%95%D0%9D%D0%A1%D0%9A%D0%98-%D0%A1%D0%9F%D0%95%D0%9A%D0%A2%D0%90%D0%9A%D0%9B-%E2%80%9E%D0%A1%D0%9E%D0%9D%D0%A6%D0%95%D0%A2%D0%9E-%D0%9A%D0%9E%D0%9B%D0%9A%D0%A3-%D0%95-%D0%91%D0%9B%D0%98%D0%A1%D0%9A%D0%A3-%D0%A1%D0%9E%D0%9D%D0%A6%D0%95%D0%A2%D0%9E-made-in-%D0%9Cnt/200029431243850,,True,"Настан: ПРЕМИЕРА - СЦЕНСКИ СПЕКТАКЛ „СОНЦЕТО, КОЛКУ Е БЛИСКУ СОНЦЕТО – MADE IN МNT“",Cinema,,
6d03f67798b9014622c37792a00a14aa,https://allevents.in/skopje/%D0%A0%D0%90%D0%94%D0%95-%D0%A8%D0%95%D0%A0%D0%91%D0%95%D0%8F%D0%98%D0%88%D0%90-%D0%98-%D0%97%D0%90%D0%9F%D0%90%D0%94%D0%9D%D0%98-%D0%9A%D0%9E%D0%9B%D0%9E%D0%94%D0%92%D0%9E%D0%A0/200029417247444,РАДЕ ШЕРБЕЏИЈА И ЗАПАДНИ КОЛОДВОР,23 Јануари,,Filharmonija,https://allevents.in/skopje/%D0%A0%D0%90%D0%94%D0%95-%D0%A8%D0%95%D0%A0%D0%91%D0%95%D0%8F%D0%98%D0%88%D0%90-%D0%98-%D0%97%D0%90%D0%9F%D0%90%D0%94%D0%9D%D0%98-%D0%9A%D0%9E%D0%9B%D0%9E%D0%94%D0%92%D0%9E%D0%A0/200029417247444,,True,Настан: РАДЕ ШЕРБЕЏИЈА И ЗАПАДНИ КОЛОДВОР,event,,
558591b5144dfc0c5737525d8e2ac6fc,https://allevents.in/skopje/error-404-%D1%81%D0%BE-%D0%96%D0%B0%D1%80%D0%BA%D0%BE-%D0%88%D0%BE%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%9C/200029431243645,ERROR 404 со Жарко Јовановиќ,20 Јануари,,Public Room,https://allevents.in/skopje/error-404-%D1%81%D0%BE-%D0%96%D0%B0%D1%80%D0%BA%D0%BE-%D0%88%D0%BE%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%9C/200029431243645,,True,Настан: ERROR 404 со Жарко Јовановиќ,event,,
963d91c7f74242a236a5de2d9fff450b,https://allevents.in/skopje/autechre/200029305345414,AUTECHRE,2 Октомври,,Младински Културен Центар,https://allevents.in/skopje/autechre/200029305345414,,True,Настан: AUTECHRE,Business,,
a8e07184b68e190ad9d92bbb8e592f94,https://allevents.in/skopje/%D0%91%D0%90%D0%88%D0%90%D0%93%D0%90-and-%D0%98%D0%9D%D0%A1%D0%A2%D0%A0%D0%A3%D0%9A%D0%A2%D0%9E%D0%A0%D0%98-%D0%98-%D0%92%D0%9B%D0%90%D0%94%D0%9E-%D0%88%D0%90%D0%9D%D0%95%D0%92%D0%A1%D0%9A%D0%98-%D0%92%D0%9E-%D0%91%D0%9E%D0%A0%D0%98%D0%A1-%D0%A2%D0%A0%D0%90%D0%88%D0%9A%D0%9E%D0%92%D0%A1%D0%9A%D0%98-%D0%90%D0%A0%D0%95%D0%9D%D0%90/200029390237220,БАЈАГА & ИНСТРУКТОРИ И ВЛАДО ЈАНЕВСКИ ВО БОРИС ТРАЈКОВСКИ АРЕНА!,14 Февруари,,Boris Trajkovski Sports Center,https://allevents.in/skopje/%D0%91%D0%90%D0%88%D0%90%D0%93%D0%90-and-%D0%98%D0%9D%D0%A1%D0%A2%D0%A0%D0%A3%D0%9A%D0%A2%D0%9E%D0%A0%D0%98-%D0%98-%D0%92%D0%9B%D0%90%D0%94%D0%9E-%D0%88%D0%90%D0%9D%D0%95%D0%92%D0%A1%D0%9A%D0%98-%D0%92%D0%9E-%D0%91%D0%9E%D0%A0%D0%98%D0%A1-%D0%A2%D0%A0%D0%90%D0%88%D0%9A%D0%9E%D0%92%D0%A1%D0%9A%D0%98-%D0%90%D0%A0%D0%95%D0%9D%D0%90/200029390237220,,True,Настан: БАЈАГА & ИНСТРУКТОРИ И ВЛАДО ЈАНЕВСКИ ВО БОРИС ТРАЈКОВСКИ АРЕНА!,Sports,,
9749ac56c53332e377712c18bbfe99ff,https://allevents.in/skopje/boardgames-meetup-registration-is-mandatory/200028536498804,Boardgames Meetup (Registration is mandatory),17 Февруари,,Skopje,https://allevents.in/skopje/boardgames-meetup-registration-is-mandatory/200028536498804,,True,Настан: Boardgames Meetup (Registration is mandatory),event,,
32ccf3f99bdb77a44e5563847c610ea9,https://allevents.in/skopje/deep-purple-%D0%9D%D0%90-%D0%91%D0%98%D0%A1-%D0%97%D0%90-%D0%9F%D0%9E%D0%A1%D0%9B%D0%95%D0%94%D0%95%D0%9D-%D0%9F%D0%90%D0%A2-%D0%92%D0%9E-%D0%A1%D0%9A%D0%9E%D0%9F%D0%88%D0%95/200029390237016,DEEP PURPLE НА БИС - ЗА ПОСЛЕДЕН ПАТ ВО СКОПЈЕ!,11 Октомври,,Boris Trajkovski Sports Center,https://allevents.in/skopje/deep-purple-%D0%9D%D0%90-%D0%91%D0%98%D0%A1-%D0%97%D0%90-%D0%9F%D0%9E%D0%A1%D0%9B%D0%95%D0%94%D0%95%D0%9D-%D0%9F%D0%90%D0%A2-%D0%92%D0%9E-%D0%A1%D0%9A%D0%9E%D0%9F%D0%88%D0%95/200029390237016,,True,Настан: DEEP PURPLE НА БИС - ЗА ПОСЛЕДЕН ПАТ ВО СКОПЈЕ!,Sports,,
40b431758dba97031c0a66870f103da6,https://allevents.in/skopje/the-young-gods-in-skopie/3300029313681120,The Young Gods in Skopie,14 Март,,Youth Cultural Center,https://allevents.in/skopje/the-young-gods-in-skopie/3300029313681120,,True,Настан: The Young Gods in Skopie,Kids,,
9fdeae28590b1ed324bb1c2c2cc79244,https://allevents.in/skopje/changing-tango-skopje-vs-rome/200029327749721,CHANGING TANGO - SKOPJE vs ROME,20 Март,,"Dance Art Skopje, Ul.Cedomir Minderovic 27, Skopje 1000, Macedonia Del Nord",https://allevents.in/skopje/changing-tango-skopje-vs-rome/200029327749721,,True,Настан: CHANGING TANGO - SKOPJE vs ROME,Art,,
46d17d2b05536bae795e043ef6abf68c,https://allevents.in/skopje/jakov-jozinovi%C4%86-%E2%97%8F-skopje-arena-jane-sandanski-%E2%97%8F-942026/200029435137630,"JAKOV JOZINOVIĆ ● SKOPJE, Arena Jane Sandanski ● 9.4.2026",9 Април,,Jane Sandanski Arena,https://allevents.in/skopje/jakov-jozinovi%C4%86-%E2%97%8F-skopje-arena-jane-sandanski-%E2%97%8F-942026/200029435137630,,True,"Настан: JAKOV JOZINOVIĆ ● SKOPJE, Arena Jane Sandanski ● 9.4.2026",event,,
7c9e46b1adad5e2964a5fdb62af24a79,https://allevents.in/skopje/autechre-in-skopje/3300029393311054,Autechre in Skopje,2 Октомври,,MKC Club & Restaurant,https://allevents.in/skopje/autechre-in-skopje/3300029393311054,,True,Настан: Autechre in Skopje,Food,,
